Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1975-11-30,36.15830028,39.799106609,28.925032494,38.507549207,17.564070379,20.732322228,25.918159509,28.62220918,33.295877376,29.542105376,27.283939321,32.730898746,27.303761749,33.487028286,35.1204488,35.929388198,33.362986285,36.013524327,29.071768529,28.059289961,15.88488539,25.165851287,27.514662257,41.740376578,31.168915227,29.361027147,31.613714145,31.171183103,23.411178138,22.884667146,29.63514733,23.953267885,30.145690753,43.338704682,31.877020721,38.977944588,22.804815724,29.29028132,22.751019112,32.51464008,35.371390919,34.033116397,34.3582857,25.95105936,27.946190318,29.095269794,18.44642001,48.698917523,30.567341099,35.686715624
1975-12-31,36.477560076,40.139340165,29.298287522,38.644012855,17.687808661,20.937549191,26.148513172,28.674877283,33.422095955,29.593417248,27.260686739,33.21671727,27.633645126,33.859720481,35.2955821,36.10763158,33.321727607,36.297371877,29.034737119,28.364703459,15.898755206,25.143461541,27.399821521,42.018888365,31.332242199,29.568195929,31.990917583,31.481303326,23.594590932,22.825350817,29.641174722,23.937599587,30.223928952,43.846166912,31.993300161,39.394792658,22.876367551,30.135319174,22.719476475,32.314395109,35.462056142,34.454081403,34.575680794,26.364923443,27.943931225,28.987095129,18.650139389,48.605182538,30.614152884,35.807795783
1976-01-31,37.000526544,40.413311046,29.681037654,38.857057491,17.868287738,21.162547166,26.344123359,28.702199156,33.383875565,29.680497387,27.238064249,33.691105296,27.987206249,34.207599289,35.613077342,36.330262793,33.305126793,36.615516449,28.919999108,28.615261524,15.908533087,25.182838047,27.297592734,42.369985369,31.769275423,29.846867246,32.478779965,31.767231255,23.850141456,22.892931517,29.688434895,23.82250861,30.189155393,44.28608059,32.002797716,39.725647812,22.98911865,30.853375869,22.695674829,32.077725193,35.648339739,34.664375427,34.705589916,26.745020739,27.927139967,28.90447284,18.855801336,48.491438433,30.612931699,35.914595261
1976-02-29,37.604315263,40.643520057,29.968829542,39.16159369,18.082329949,21.370912853,26.474861043,28.705648485,33.414611108,29.705183292,27.234046896,34.053359729,28.272255889,34.485822526,36.076821553,36.565447241,33.306830853,36.928597447,28.796620609,28.788664114,15.940352299,25.243680786,27.260638333,42.625353239,32.575068653,30.180492863,33.031013032,31.990168213,24.127931844,23.039854165,29.795073841,23.627604936,30.048716351,44.644602961,32.093218807,40.031125356,23.139945766,31.249721457,22.742873723,31.833938499,35.930457269,34.661213042,35.003492308,27.107204213,27.904439563,28.953586579,19.07289992,48.440463172,30.598230067,36.055096464
1976-03-31,38.127186747,40.856976307,30.132399307,39.569223898,18.353204683,21.577242438,26.550858273,28.715887729,33.969653007,29.672890342,27.224432419,34.265746954,28.524893479,34.699675434,36.619144539,36.819043474,33.343579963,37.260839491,28.69859569,28.932147067,16.012481891,25.387044819,27.313526398,42.660780953,33.791995572,30.555461124,33.549767773,32.113217403,24.354684128,23.223774067,29.948906251,23.439782238,29.943412975,44.922646598,32.366059138,40.363547246,23.370585886,31.421291259,22.886880282,31.664847699,36.28217462,34.600268655,35.730355649,27.434363111,27.904679583,29.145222199,19.294782013,48.481827347,30.621512616,36.257484985
1976-04-30,38.469711303,41.066138393,30.180507834,40.028527515,18.649505552,21.763812823,26.610493456,28.780158532,35.184010681,29.713929303,27.201451947,34.36322751,28.814187825,34.914640695,37.188940201,37.101910787,33.462182285,37.634610102,28.606526847,29.085660693,16.081253361,25.571572029,27.427609504,42.464733503,35.103180788,30.925070662,33.99337667,32.151687906,24.506883285,23.467528263,30.139121143,23.338942103,29.969522073,45.175298858,32.781900836,40.676130591,23.675941247,31.482786846,23.107555403,31.695150914,36.652446407,34.644639515,36.763030691,27.719310532,27.969590418,29.384449379,19.501415147,48.559242864,30.751754199,36.524257054
1976-05-31,38.644860805,41.272642835,30.151356603,40.439396773,18.872251072,21.89026692,26.685381901,28.872707823,35.504948893,29.920897499,27.184237293,34.438338938,29.223249204,35.191275894,37.738074945,37.387854624,33.677175833,37.984856767,28.469726608,29.262347711,16.10040044,25.686555136,27.559928006,42.143616164,35.286631519,31.238495667,34.29511643,32.143993408,24.604583498,23.767519183,30.359840628,23.370216982,30.077475384,45.458515957,33.200663798,40.953201137,24.050407404,31.612182938,23.374541276,31.969566313,37.004989231,34.744579622,37.082152977,27.938965638,28.113188878,29.641270164,19.732280474,48.612075496,30.978896044,36.872902183
1976-06-30,38.724613212,41.472352906,30.094546791,40.768828341,19.099133498,21.96878378,26.808634124,28.924452812,34.647079622,30.325538689,27.215604043,34.528058192,29.712427049,35.465058374,38.163163542,37.634321581,33.968766028,38.207280615,28.257639128,29.485609209,16.131538656,25.781680442,27.736142997,41.850198934,34.433884656,31.469252379,34.41005869,32.139150833,24.677522683,24.028245144,30.591574284,23.536832905,30.244823858,45.782226235,33.487499715,41.263050506,24.508930016,31.904395915,23.64257358,32.374377188,37.323037489,34.764044078,36.686501737,28.068300889,28.324419841,29.860730778,20.044094176,48.612912385,31.189933059,37.337509053
1976-07-31,38.793009838,41.643006539,30.076637574,41.071018438,19.398768402,22.006608005,26.984789767,28.925784293,34.053335086,30.776291362,27.356097317,34.56826277,30.033836463,35.634606551,38.467539294,37.789240441,34.261813173,38.34158477,28.001889842,29.757711398,16.26024216,25.891879078,28.019197834,41.689635096,33.712701975,31.624331812,34.40421349,32.148372592,24.742053074,24.183739944,30.82265902,23.726272282,30.436751737,46.131539615,33.70675856,41.606481562,24.993207627,32.118190987,23.866586162,32.74778896,37.623490006,34.752742105,36.48697389,28.200661387,28.584524302,30.002879024,20.43487541,48.55882091,31.354573446,37.900653422
1976-08-31,38.855545425,41.777338439,30.13049412,41.387112862,19.700346997,22.008126545,27.131611441,28.897966091,33.949293556,31.010856487,27.596764114,34.569918226,30.144968514,35.677154206,38.76526277,37.877350758,34.519012194,38.509322585,27.747899754,30.013009785,16.435230716,25.994756639,28.316433459,41.659338236,33.303956891,31.738215681,34.378445865,32.156834366,24.80199796,24.226986164,31.047052813,23.779363056,30.581338781,46.514146319,33.912253451,41.939878683,25.43232208,31.940275008,24.035141053,33.020779369,37.90809482,34.805329622,36.483971121,28.379054295,28.862568323,30.163737296,20.772623219,48.483108517,31.542789532,38.489774663
1976-09-30,38.895448934,41.943537024,30.226536323,41.650118431,19.978848936,22.029242138,27.215382005,28.868486922,34.063981503,31.051723236,27.852975042,34.63929359,30.185794333,35.667073073,39.11289937,38.005050335,34.725764178,38.734722615,27.553875846,30.142622826,16.578972007,26.098507603,28.519413474,41.740918266,33.207420391,31.837885456,34.414399184,32.15602747,24.859536963,24.134180151,31.29026576,23.697245489,30.670241313,46.984076288,34.06429161,42.243793087,25.810948581,31.391721952,24.15080666,33.188977356,38.118377758,34.90322651,36.570512101,28.532670192,29.124320226,30.330139431,20.966428349,48.43615293,31.765064097,39.078399713
1976-10-31,38.956761439,42.204516792,30.403341322,41.800579397,20.271653994,22.162322645,27.320581049,28.881269029,34.16962318,30.987691703,28.038310146,34.856626472,30.277904064,35.719788138,39.496692534,38.27055776,34.836070634,39.025570051,27.492704771,30.148658043,16.672117354,26.206163955,28.673361818,41.9280678,33.296119443,31.972805702,34.56279201,32.173388666,24.934655352,23.931258726,31.603561126,23.629001872,30.778366923,47.575465777,34.122658868,42.501321068,26.168271115,31.032350237,24.235794175,33.275094768,38.19539865,34.999763599,36.780902502,28.675534718,29.344589622,30.445295002,21.098198769,48.437899038,31.976063519,39.679281959
1976-11-30,39.099480066,42.554897672,30.644405094,41.905991168,20.627627385,22.420410165,27.412672231,28.974694137,34.227577154,30.874520219,28.11247687,35.240199168,30.506308172,35.910417513,39.807867645,38.670031383,34.873542999,39.366977005,27.589113326,30.182201636,16.709464011,26.32957144,28.836811447,42.148587203,33.485176399,32.170957704,34.854115754,32.256837728,25.068882051,23.706171984,32.010895013,23.626250188,30.938349858,48.247125826,34.139209464,42.709681453,26.561989083,31.404004481,24.311116729,33.317832606,38.15346916,35.083776882,37.088905796,28.885674438,29.521033103,30.558865956,21.280087286,48.501378862,32.216242744,40.250404612
1976-12-31,39.260449971,42.969072576,30.822964361,42.058129042,20.983126748,22.694960308,27.394844124,29.144997493,34.072545437,30.803364078,28.10519641,35.72334645,30.689326578,36.229051154,40.039272636,39.178675819,34.904466884,39.701944679,27.805979415,30.393993044,16.73834113,26.454832672,29.035151991,42.28744462,33.803103866,32.433956236,35.239848966,32.417292064,25.265494384,23.579557518,32.513140263,23.642434198,31.109895445,48.911367317,34.197291706,42.9001438,26.989932998,32.161280485,24.407793121,33.348201267,38.086137699,35.196968237,37.30070406,29.192746676,29.668156184,30.657745763,21.494796329,48.659014827,32.523048943,40.718301895
1977-01-31,39.345248601,43.403958355,30.91923246,42.320541858,21.349459456,22.909021028,27.323197992,29.36172371,33.569375321,30.787245624,28.054444661,36.20704218,30.790369141,36.557226198,40.306561173,39.731010771,35.003494278,40.047627348,28.078415408,30.753770487,16.785002063,26.589373358,29.235393911,42.307541532,34.226093045,32.772687591,35.619522164,32.679862705,25.484319034,23.647282995,33.087242653,23.663084559,31.173552544,49.475451458,34.315990003,43.163813145,27.360313383,32.698238619,24.53833321,33.403908933,38.07318059,35.411522034,37.471260934,29.540607634,29.799309972,30.742928096,21.650798325,48.937049412,32.86661225,41.086233055
1977-02-28,39.381710781,43.805973227,31.031337769,42.694514551,21.826343784,23.091698583,27.281479446,29.575791795,32.870068043,30.837339221,27.965979611,36.615866172,31.062890516,36.828220321,40.674244803,40.266472353,35.259806257,40.449365244,28.343399906,31.090496433,16.812637352,26.753956624,29.402109126,42.277190515,34.825800763,33.186754697,35.956970195,33.093229199,25.69668719,23.920287465,33.652084361,23.701178393,31.067319827,49.892195038,34.574456871,43.506982258,27.609486944,32.952788857,24.682179542,33.530378495,38.147462927,35.763323796,37.919790004,29.90047899,29.926293856,30.877261851,21.811803591,49.322276628,33.28734343,41.416638739
1977-03-31,39.437980085,44.130521987,31.268341059,43.098598917,22.40992162,23.291863838,27.335826645,29.723758816,32.988646256,30.949118099,27.879854733,36.924734471,31.660535885,37.065215928,41.133822309,40.753698678,35.732140486,40.922242659,28.598958843,31.311050135,16.81526441,26.91573953,29.605673564,42.300282495,35.912109866,33.674019394,36.284875182,33.62370779,25.897988081,24.274787148,34.14146454,23.837673489,31.00863205,50.1427819,34.992974182,43.874667111,27.820963966,33.036189832,24.891914122,33.78923903,38.33864683,36.216901688,38.992659635,30.309358602,30.074733308,31.082651556,22.124084287,49.792059523,33.790418925,41.748725493
